id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,description,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family
49861807202,22316914@N06,ccec045e20,65535,66,Subway,1,0,0,{'_content': 'Westlake / MacArthur Park metro station'},losangeles ca california subway metro public tatyana transit mass red tile escalator exit entrance stairs reflection macarthurpark westlake someoneleftmycakeoutintherain dark light square flaneur flâneur lines,34.055000,-118.274167,16,0,,8062690,1,0,0,0
49807593258,15139867@N05,b60723272a,65535,66,"MacArthur Park, Downtown Los Angeles Skyline",1,0,0,{'_content': 'MV2P_0798'},downtownlosangeles losangelesskyline macarthurpark twilight dtla,34.059772,-118.280000,16,0,,8062690,1,0,0,0
49808147591,15139867@N05,868a4d0988,65535,66,"Westlake Theatre, Downtown Los Angeles Skyline",1,0,0,{'_content': 'MV2P_0795'},downtownlosangeles losangelesskyline macarthurpark twilight dtla westlaketheatre,34.058600,-118.276012,16,0,,8062690,1,0,0,0
49807593143,15139867@N05,cca7a03aa5,65535,66,Downtown Los Angeles Skyline,1,0,0,{'_content': 'MV2P_0799'},downtownlosangeles losangelesskyline macarthurpark twilight dtla,34.057849,-118.275764,16,0,,8062690,1,0,0,0
49169692477,44335492@N00,9fa0cc498c,65535,66,IMG_6771,1,0,0,"{'_content': 'Riding in the Heart of L.A. CicLAvia, where 6 miles of streets were closed from traffic, from the Historic Core, Little Tokyo, the Arts District, Chinatown, Boyle Heights, and MacArthur Park'}",la losangeles ca usa socal southerncalifornia heartofla ciclavia lake westlake palmtree macarthurpark,34.057592,-118.278518,16,0,,8062690,1,0,0,0
49169463916,44335492@N00,6478bd28f4,65535,66,IMG_6772,1,0,0,"{'_content': 'Riding in the Heart of L.A. CicLAvia, where 6 miles of streets were closed from traffic, from the Historic Core, Little Tokyo, the Arts District, Chinatown, Boyle Heights, and MacArthur Park'}",la losangeles ca usa socal southerncalifornia heartofla ciclavia lake westlake palmtree macarthurpark,34.057592,-118.278518,16,0,,8062690,1,0,0,0
49169463826,44335492@N00,9b418245df,65535,66,IMG_6775,1,0,0,"{'_content': 'Riding in the Heart of L.A. CicLAvia, where 6 miles of streets were closed from traffic, from the Historic Core, Little Tokyo, the Arts District, Chinatown, Boyle Heights, and MacArthur Park'}",la losangeles ca usa socal southerncalifornia heartofla ciclavia lake westlake palmtree macarthurpark,34.057592,-118.278518,16,0,,8062690,1,0,0,0
49168985788,44335492@N00,f69542664e,65535,66,IMG_6776,1,0,0,"{'_content': 'Riding in the Heart of L.A. CicLAvia, where 6 miles of streets were closed from traffic, from the Historic Core, Little Tokyo, the Arts District, Chinatown, Boyle Heights, and MacArthur Park'}",shop store guatemala guatemalaimports westlake macarthurpark losangeles la ca usa socal southerncalifornia ciclavia heartofla,34.057121,-118.278433,16,0,,8062690,1,0,0,0
49046444347,57453294@N00,c335382079,65535,66,,1,0,0,"{'_content': 'MacArthur Park\n(once Westlake Park)\nWilshire Boulevard, Los Angeles\n<i>seen from the bus</i>\n\n\n20190311_163455'}",wilshireboulevard losangeles seenfromthebus park lake lac lago macarthurpark california,34.062052,-118.296098,16,0,,5363748,1,0,0,0
49045726783,57453294@N00,794561cd5f,65535,66,,1,0,0,"{'_content': 'MacArthur Park\n(once Westlake Park)\nWilshire Boulevard, Los Angeles\n<i>seen from the bus</i>\n\n\n20190311_163458'}",wilshireboulevard losangeles seenfromthebus parque lake lago macarthurpark california,34.062052,-118.296098,16,0,,5363748,1,0,0,0
49046443147,57453294@N00,3e272ffc8f,65535,66,,1,0,0,"{'_content': 'MacArthur Park\n(once Westlake Park)\nWilshire Boulevard, Los Angeles\n<i>seen from the bus</i>\n\n20190311_163502\n'}",macarthurpark wilshireboulevard losangeles seenfromthebus lake lago parque california,34.062052,-118.296098,16,0,,5363748,1,0,0,0
49045725563,57453294@N00,ba45154ff4,65535,66,,1,0,0,"{'_content': 'MacArthur Park\n(once Westlake Park)\nWilshire Boulevard, Los Angeles\n<i>seen from the bus</i>\n\n\n'}",lake park macarthurpark wilshireboulevard losangeles seenfromthebus lac lago parque california,34.059211,-118.277709,16,0,,8062690,1,0,0,0
48868967881,25563261@N05,8db066c5e3,65535,66,fullsizeoutput_a120,1,0,0,"{'_content': 'Riding in the Heart of L.A. CicLAvia, where 6 miles of streets were closed from traffic, from the Historic Core, Little Tokyo, the Arts District, Chinatown, Boyle Heights, and MacArthur Park'}",losangeles ca usa socal southerncalifornia ciclavia heartofla westlake macarthurpark lake ducks seagulls palmtree fountain park westlaketheatre sign,34.058066,-118.279337,16,0,,8062690,1,0,0,0
48869165432,25563261@N05,cce9ec6cda,65535,66,fullsizeoutput_a121,1,0,0,"{'_content': 'Riding in the Heart of L.A. CicLAvia, where 6 miles of streets were closed from traffic, from the Historic Core, Little Tokyo, the Arts District, Chinatown, Boyle Heights, and MacArthur Park'}",losangeles ca usa socal southerncalifornia ciclavia heartofla westlake macarthurpark lake ducks seagulls fountain park buildings westlaketheatre sign,34.058180,-118.279000,16,0,,8062690,1,0,0,0
48868967436,25563261@N05,ed957eeea0,65535,66,fullsizeoutput_a127,1,0,0,"{'_content': 'Riding in the Heart of L.A. CicLAvia, where 6 miles of streets were closed from traffic, from the Historic Core, Little Tokyo, the Arts District, Chinatown, Boyle Heights, and MacArthur Park'}",losangeles ca usa socal southerncalifornia ciclavia heartofla westlake macarthurpark lake ducks seagulls fountain park buildings westlaketheatre sign,34.058208,-118.278992,16,0,,8062690,1,0,0,0
48868967286,25563261@N05,50c1036cb0,65535,66,fullsizeoutput_a128,1,0,0,"{'_content': 'Riding in the Heart of L.A. CicLAvia, where 6 miles of streets were closed from traffic, from the Historic Core, Little Tokyo, the Arts District, Chinatown, Boyle Heights, and MacArthur Park'}",losangeles ca usa socal southerncalifornia ciclavia heartofla westlake macarthurpark lake ducks seagulls,34.058238,-118.279000,16,0,,,1,0,0,0
48869164672,25563261@N05,5c498bb686,65535,66,fullsizeoutput_a129,1,0,0,"{'_content': 'Riding in the Heart of L.A. CicLAvia, where 6 miles of streets were closed from traffic, from the Historic Core, Little Tokyo, the Arts District, Chinatown, Boyle Heights, and MacArthur Park'}",losangeles ca usa socal southerncalifornia ciclavia heartofla westlake macarthurpark bikes biking palmtree dtla downtownlosangeles,34.056830,-118.277887,16,0,,8062690,1,0,0,0
33673140188,25563261@N05,8408ca34fb,7862,8,IMG_4280,1,0,0,"{'_content': ""At Cole Escola's performance at Dynasty Typewriter at the historic Hayworth Theatre in Westlake in Los Angeles, CA""}",losangeles ca usa socal southerncalifornia westlake macarthurpark hayworththeatre theatre dynastytypewriter coleescola marquee neon comic comedian liveperformance comedy night evening,34.060097,-118.280603,16,0,c9d0dwRTUb8v0hz88w,23511979,1,0,0,0
47353942981,57453294@N00,7c22a200f3,7897,8,,1,0,0,"{'_content': 'MacArthur Park (originally Westlake Park)\nWilshire Boulevard, Los Angeles\n\n\n2019-03-11_04-36-46'}",lake park losangeles wilshireboulevard macarthurpark,34.059474,-118.278633,16,0,YL1rrY5YULoVwr15CQ,92059074,1,0,0,0
44631935825,73417912@N00,768b17b8c4,1941,2,Say It With Concrete,1,0,0,"{'_content': ""The American Cement Company's building on Wilshire Boulevard was built not just to house its headquarters, but to showcase the strength, construction advantages, and architectural possibilities of concrete.\n\nThe building façade is a showier way to advertise concrete's ability to be both structural and decorative.  American Cement hired architectural firm Daniel, Mann, Johnson and Mendenhall to create its showcase 13-story reinforced-concrete building, which is capped by a zigzag roof.  It was completed in 1961.  The building’s most striking feature is this modernistic latticework of 450 precast concrete Xs covering its north and south façades like an exoskeleton.  It is both sculptural in nature and visually striking.""}",danielmannjohnsonandmendenhall 1961 americancementcompany facade building architecturalabstract abstract minimalist pattern losangeles la macarthurpark façade,34.059656,-118.280023,16,0,c9d0dwRTUb8v0hz88w,23511979,1,0,0,0
